StartMonth,TotalMembers,GymUsableSqFt,GymMaxOccupancy,GymSiteType,GymParking,unis_within_0_0.5_mile,unis_within_0.5_1_mile,unis_within_1_2_mile,PromoPercentage,AvgJoiningFee,AvgAccountPayment,BASEADL_0.5,UMAP2D_1,UMAP2D_2,POP_0.5_1,POP_1_2,POP_2_3,POP_3_4,DENS_0_0.5,DENS_0.5_1,DENS_1_2,DENS_2_3,DENS_3_4,DENSITY_DROP_2,DENSITY_DROP_3,DENSITY_DROP_4,NEAR_POP_SHARE,INNER_RING_SHARE,RATIO_0_5_TO_1,RATIO_1_TO_2,0-0.5_mile_comp,0.5-1_mile_comp,1-2_mile_comp,CompetitorIndex,transaction_density_4,user_density,avg_spend_per_user,user_repeat_rate,distance_weighted_spend,avg_merchant_per_user,txn_count_0_1_mi,txn_density_0_1_mi,txn_count_1_2_mi,txn_density_1_2_mi,txn_count_2_3_mi,txn_density_2_3_mi,txn_count_3_4_mi,txn_density_3_4_mi,Latitude,Longitude,HashedGymPublicName
Jan-24,3373,7438,124,Residential,Parking,1,0,0,0.6442812982998455,2.1058732612055637,25.985857805255016,10231.199999999999,15.117895,0.9827856,15910.8,27081.6,21673.2,44350.799999999996,13135.324833678518,6809.026193202888,2897.3923962629683,1391.2567547564377,1848.6937988304846,3232.7552040825776,1244.740199592174,-530.8317553,0.085797953166353,0.2192245378523341,0.6430349191922204,0.5875132928981243,0,0,0,0,124.6978979,18.34260719134094,144.30268980477226,0.8373101952277657,22.125528161173914,1.13882863340564,3240,1031.324031235482,513,54.43099053742821,716,45.58197570151883,1799,81.8056407492342,53.752142420138625,-2.362499269,303d35421b8d224ed997d4af7f0a0dfd189ac35c84b1d004f84ebfc2c2ca2d7a
Feb-24,3439,7438,124,Residential,Parking,1,0,0,0.33446475195822456,3.818537859007833,31.238054830287204,10231.199999999999,15.117895,0.9827856,15910.8,27081.6,21673.2,44350.799999999996,13135.324833678518,6809.026193202888,2897.3923962629683,1391.2567547564377,1848.6937988304846,3232.7552040825776,1244.740199592174,-530.8317553,0.085797953166353,0.2192245378523341,0.6430349191922204,0.5875132928981243,0,0,0,0,124.6978979,18.34260719134094,144.30268980477226,0.8373101952277657,22.125528161173914,1.13882863340564,3240,1031.324031235482,513,54.43099053742821,716,45.58197570151883,1799,81.8056407492342,53.752142420138625,-2.362499269,303d35421b8d224ed997d4af7f0a0dfd189ac35c84b1d004f84ebfc2c2ca2d7a
Mar-24,3413,7438,124,Residential,Parking,1,0,0,0.4310850439882698,3.2074780058651027,25.155315249266863,10231.199999999999,15.117895,0.9827856,15910.8,27081.6,21673.2,44350.799999999996,13135.324833678518,6809.026193202888,2897.3923962629683,1391.2567547564377,1848.6937988304846,3232.7552040825776,1244.740199592174,-530.8317553,0.085797953166353,0.2192245378523341,0.6430349191922204,0.5875132928981243,0,0,0,0,124.6978979,18.34260719134094,144.30268980477226,0.8373101952277657,22.125528161173914,1.13882863340564,3240,1031.324031235482,513,54.43099053742821,716,45.58197570151883,1799,81.8056407492342,53.752142420138625,-2.362499269,303d35421b8d224ed997d4af7f0a0dfd189ac35c84b1d004f84ebfc2c2ca2d7a
Apr-24,3547,7438,124,Residential,Parking,1,0,0,0.4503496503496504,3.0011655011655014,27.32462121212121,10231.199999999999,15.117895,0.9827856,15910.8,27081.6,21673.2,44350.799999999996,13135.324833678518,6809.026193202888,2897.3923962629683,1391.2567547564377,1848.6937988304846,3232.7552040825776,1244.740199592174,-530.8317553,0.085797953166353,0.2192245378523341,0.6430349191922204,0.5875132928981243,0,0,0,0,124.6978979,18.34260719134094,144.30268980477226,0.8373101952277657,22.125528161173914,1.13882863340564,3240,1031.324031235482,513,54.43099053742821,716,45.58197570151883,1799,81.8056407492342,53.752142420138625,-2.362499269,303d35421b8d224ed997d4af7f0a0dfd189ac35c84b1d004f84ebfc2c2ca2d7a
May-24,3389,7438,124,Residential,Parking,1,0,0,0.4017150395778364,3.644459102902375,30.932618733509237,10231.199999999999,15.117895,0.9827856,15910.8,27081.6,21673.2,44350.799999999996,13135.324833678518,6809.026193202888,2897.3923962629683,1391.2567547564377,1848.6937988304846,3232.7552040825776,1244.740199592174,-530.8317553,0.085797953166353,0.2192245378523341,0.6430349191922204,0.5875132928981243,0,0,0,0,124.6978979,18.34260719134094,144.30268980477226,0.8373101952277657,22.125528161173914,1.13882863340564,3240,1031.324031235482,513,54.43099053742821,716,45.58197570151883,1799,81.8056407492342,53.752142420138625,-2.362499269,303d35421b8d224ed997d4af7f0a0dfd189ac35c84b1d004f84ebfc2c2ca2d7a
Jun-24,3402,7438,124,Residential,Parking,1,0,0,0.40281329923273657,6.3938618925831205,31.373529411764704,10231.199999999999,15.117895,0.9827856,15910.8,27081.6,21673.2,44350.799999999996,13135.324833678518,6809.026193202888,2897.3923962629683,1391.2567547564377,1848.6937988304846,3232.7552040825776,1244.740199592174,-530.8317553,0.085797953166353,0.2192245378523341,0.6430349191922204,0.5875132928981243,0,0,0,0,124.6978979,18.34260719134094,144.30268980477226,0.8373101952277657,22.125528161173914,1.13882863340564,3240,1031.324031235482,513,54.43099053742821,716,45.58197570151883,1799,81.8056407492342,53.752142420138625,-2.362499269,303d35421b8d224ed997d4af7f0a0dfd189ac35c84b1d004f84ebfc2c2ca2d7a
Jul-24,3651,7438,124,Residential,Parking,1,0,0,0.4894927536231884,5.646135265700483,36.32756642512077,10231.199999999999,15.117895,0.9827856,15910.8,27081.6,21673.2,44350.799999999996,13135.324833678518,6809.026193202888,2897.3923962629683,1391.2567547564377,1848.6937988304846,3232.7552040825776,1244.740199592174,-530.8317553,0.085797953166353,0.2192245378523341,0.6430349191922204,0.5875132928981243,0,0,0,0,124.6978979,18.34260719134094,144.30268980477226,0.8373101952277657,22.125528161173914,1.13882863340564,3240,1031.324031235482,513,54.43099053742821,716,45.58197570151883,1799,81.8056407492342,53.752142420138625,-2.362499269,303d35421b8d224ed997d4af7f0a0dfd189ac35c84b1d004f84ebfc2c2ca2d7a
Aug-24,3377,7438,124,Residential,Parking,1,0,0,0.6835180055401663,3.0990304709141276,27.41038781163435,10231.199999999999,15.117895,0.9827856,15910.8,27081.6,21673.2,44350.799999999996,13135.324833678518,6809.026193202888,2897.3923962629683,1391.2567547564377,1848.6937988304846,3232.7552040825776,1244.740199592174,-530.8317553,0.085797953166353,0.2192245378523341,0.6430349191922204,0.5875132928981243,0,0,0,0,124.6978979,18.34260719134094,144.30268980477226,0.8373101952277657,22.125528161173914,1.13882863340564,3240,1031.324031235482,513,54.43099053742821,716,45.58197570151883,1799,81.8056407492342,53.752142420138625,-2.362499269,303d35421b8d224ed997d4af7f0a0dfd189ac35c84b1d004f84ebfc2c2ca2d7a
Sep-24,3738,7438,124,Residential,Parking,1,0,0,0.6095907928388747,4.5076726342711,29.52615089514066,10231.199999999999,15.117895,0.9827856,15910.8,27081.6,21673.2,44350.799999999996,13135.324833678518,6809.026193202888,2897.3923962629683,1391.2567547564377,1848.6937988304846,3232.7552040825776,1244.740199592174,-530.8317553,0.085797953166353,0.2192245378523341,0.6430349191922204,0.5875132928981243,0,0,0,0,124.6978979,18.34260719134094,144.30268980477226,0.8373101952277657,22.125528161173914,1.13882863340564,3240,1031.324031235482,513,54.43099053742821,716,45.58197570151883,1799,81.8056407492342,53.752142420138625,-2.362499269,303d35421b8d224ed997d4af7f0a0dfd189ac35c84b1d004f84ebfc2c2ca2d7a
Oct-24,3543,7438,124,Residential,Parking,1,0,0,0.4909090909090909,4.902597402597402,28.012857142857147,10231.199999999999,15.117895,0.9827856,15910.8,27081.6,21673.2,44350.799999999996,13135.324833678518,6809.026193202888,2897.3923962629683,1391.2567547564377,1848.6937988304846,3232.7552040825776,1244.740199592174,-530.8317553,0.085797953166353,0.2192245378523341,0.6430349191922204,0.5875132928981243,0,0,0,0,124.6978979,18.34260719134094,144.30268980477226,0.8373101952277657,22.125528161173914,1.13882863340564,3240,1031.324031235482,513,54.43099053742821,716,45.58197570151883,1799,81.8056407492342,53.752142420138625,-2.362499269,303d35421b8d224ed997d4af7f0a0dfd189ac35c84b1d004f84ebfc2c2ca2d7a
